Value,Step
1.2781957331150862,0
1.2821500445610639,1
1.282998040117188,2
1.2875986356769147,3
1.2845887140019046,4
1.2757263633284606,5
1.2912413133111194,6
1.2812430342005257,7
1.2758317485880348,8
1.2726747270311771,9
1.2497186666202407,10
1.2171582364349673,11
1.2417329098808938,12
1.2240628333851569,13
1.1740274213539703,14
1.2104720628431276,15
1.1922953924759536,16
1.1813424449531287,17
1.1883632631393024,18
1.1585836793016102,19
1.0479037081519655,20
1.1031679701476038,21
1.0471979081678813,22
0.99724463274715,23
1.1170592746320105,24
1.0391145551832808,25
0.9053344142163912,26
1.0287610716381719,27
0.8729232049283687,28
0.8993310281393059,29
1.1425551311470101,30
0.8391980653701476,31
1.0094662780665817,32
0.916698131766207,33
0.9310792438276503,34
0.9808644060744024,35
0.8817162061621346,36
0.738495102856061,37
0.9474375363152073,38
0.8157930458102726,39
0.930062732009544,40
0.8459277076326241,41
0.7858142016886532,42
0.9214603343571357,43
0.8409634457427286,44
0.7511327379277009,45
0.7930445397586048,46
0.8574654958558978,47
0.9294220720101866,48
0.7625328378561127,49
0.734820042475942,50
0.8174108646605672,51
0.7050059260317012,52
0.663501873173821,53
0.7298192365801118,54
0.65835466529993,55
0.6749813403991478,56
0.7547750335172566,57
0.6953270513857664,58
0.7425442413035057,59
0.623227857446962,60
0.7396232140435892,61
0.7232461549641722,62
0.7385064534883313,63
0.8991724351179393,64
0.7202693962924824,65
0.8056879654709915,66
0.7624532151584479,67
0.6814428375933593,68
0.8085551603394563,69
0.5932140832161626,70
0.8190287190377625,71
0.7146674227188892,72
0.7665471555685682,73
0.5973243213081226,74
0.6865866090516092,75
0.541527378932157,76
0.6375910406497363,77
0.664746889262871,78
0.7545113516738309,79
0.5694579136310641,80
0.6906101778753971,81
0.4827697460830636,82
0.7588721643575728,83
0.6204731714781868,84
0.5575518896945468,85
0.9158599476124215,86
0.7999409912104757,87
0.6004041531779241,88
0.6784229488881751,89
0.6334508098567648,90
0.5249691719967149,91
0.6587323287262944,92
0.6051325672427164,93
0.6590036186214224,94
0.694909492013226,95
0.8021313460160868,96
0.6394314588297804,97
0.6179248505517215,98
0.6350157805210579,99
